"id","current_time","CPU[%](µ¥ºË)","battery[%]","temperature[¡æ]","Memory-Uss[MB]"
"1","2022-05-09-18-03-02","16.0","80","44.0","373.27"
"2","2022-05-09-18-03-27","8.9","80","44.0","372.13"
"3","2022-05-09-18-03-54","19.75","80","44.0","369.68"
"4","2022-05-09-18-04-21","22.25","80","44.0","372.82"
"5","2022-05-09-18-04-46","17.25","79","44.0","370.24"
"6","2022-05-09-18-05-10","20.75","79","44.0","372.25"
"7","2022-05-09-18-05-35","18.88","78","44.0","369.35"
"8","2022-05-09-18-05-59","19.25","78","44.0","371.22"
"9","2022-05-09-18-06-24","14.88","78","44.0","368.5"
"10","2022-05-09-18-06-52","19.0","78","44.0","371.71"
"11","2022-05-09-18-07-18","22.5","77","44.0","370.3"
"12","2022-05-09-18-07-43","21.62","77","44.0","374.36"
"13","2022-05-09-18-08-11","20.38","77","44.0","373.92"
"14","2022-05-09-18-08-37","18.0","77","44.0","373.2"
"15","2022-05-09-18-09-04","22.5","76","44.0","372.49"
"16","2022-05-09-18-09-31","27.0","76","44.0","373.3"
"17","2022-05-09-18-09-58","24.38","75","44.0","373.77"
"18","2022-05-09-18-10-23","23.38","75","44.0","373.67"
"19","2022-05-09-18-10-50","25.0","75","45.0","372.85"
"20","2022-05-09-18-11-16","35.5","75","45.0","376.84"
"21","2022-05-09-18-11-41","30.38","75","44.0","376.12"
"22","2022-05-09-18-12-11","30.0","74","44.0","375.14"
"23","2022-05-09-18-12-37","22.12","74","45.0","374.68"
"24","2022-05-09-18-13-04","20.75","74","45.0","374.89"
"25","2022-05-09-18-13-33","29.38","73","45.0","373.92"
"26","2022-05-09-18-13-57","25.25","73","45.0","378.3"
"27","2022-05-09-18-14-24","22.5","73","45.0","377.12"
"28","2022-05-09-18-14-59","24.0","73","45.0","378.47"
"29","2022-05-09-18-15-28","25.25","72","45.0","378.63"
"30","2022-05-09-18-15-57","25.25","72","45.0","379.26"
"31","2022-05-09-18-16-28","8.01","71","45.0","378.86"
"32","2022-05-09-18-16-56","14.88","71","45.0","376.79"
"33","2022-05-09-18-17-26","22.88","71","45.0","377.46"
"34","2022-05-09-18-17-52","19.62","71","45.0","380.79"
"35","2022-05-09-18-18-22","17.12","70","45.0","381.5"
"36","2022-05-09-18-18-51","17.5","70","45.0","381.17"
"37","2022-05-09-18-19-20","20.5","70","45.0","379.63"
"38","2022-05-09-18-19-50","14.38","69","45.0","380.05"
"39","2022-05-09-18-20-17","8.47","69","45.0","380.66"
"40","2022-05-09-18-20-45","10.41","69","45.0","384.9"
"41","2022-05-09-18-21-13","21.25","69","46.0","384.17"
"42","2022-05-09-18-21-41","26.5","68","45.0","384.39"
"43","2022-05-09-18-22-13","19.88","68","45.0","384.98"
"44","2022-05-09-18-22-44","17.75","68","45.0","384.71"
